,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Windspeed
0,kapaa,40,US,83,22.08,-159.32,73.4,8.05
1,lorengau,69,PG,70,-2.02,147.27,84.45,0.98
2,isangel,25,VU,71,-19.55,169.27,77.63,17.45
3,bereda,80,ES,100,43.27,-7.54,52.0,8.01
4,chuy,100,UY,97,-33.7,-53.46,62.08,8.39
5,atuona,2,PF,74,-9.8,-139.03,78.82,20.27
6,ushuaia,75,AR,86,-54.8,-68.3,41.0,23.04
7,busselton,11,AU,31,-33.65,115.33,75.99,10.29
8,cape town,20,CL,100,-36.41,-71.9,50.0,5.82
9,hobart,75,AU,62,-42.88,147.33,60.01,11.41
10,aklavik,75,CA,92,68.22,-135.01,10.4,2.24
11,mar del plata,75,ES,93,43.4,-4.01,57.99,3.36
12,albany,100,US,88,42.6,-73.97,44.01,1.39
13,domoni,18,KM,69,-12.26,44.53,79.38,4.88
14,san patricio,100,ML,19,13.3,-4.9,74.01,4.23
15,kodiak,75,US,69,57.79,-152.41,39.2,6.62
16,tripoli,21,LY,53,32.88,13.19,68.58,12.88
17,cam ranh,0,AR,40,-38.98,-67.82,53.6,9.17
18,nikolskoye,90,RU,93,59.7,30.79,50.0,13.42
19,bredasdorp,99,ZA,77,-34.53,20.04,62.6,10.29
20,severo-kurilsk,11,RU,80,50.68,156.12,44.74,3.69
21,bluff,78,NZ,79,-46.6,168.33,53.01,11.01
22,adrar,0,MR,22,20.5,-10.07,77.47,9.4
23,beringovskiy,66,RU,94,63.05,179.32,26.96,13.38
24,karasburg,32,NA,29,-28.02,18.75,63.37,5.44
25,ixtapa,40,MX,88,20.7,-105.2,82.99,1.5
26,wajima,75,JP,63,37.4,136.9,62.6,6.93
27,tecoanapa,88,MX,86,16.52,-98.75,79.79,3.74
28,santa marta,34,PH,76,17.49,120.43,86.22,8.7
29,copalillo,95,MX,84,18.03,-99.12,68.0,2.46
30,pushchino,0,RU,86,54.83,37.63,37.4,8.95
31,laguna,1,US,58,38.42,-121.42,57.0,3.36
32,norman wells,90,US,98,35.22,-97.44,32.0,14.38
33,punta arenas,84,PH,65,8.99,125.34,86.04,6.06
34,pevek,100,RU,94,69.7,170.31,21.07,8.84
35,srisailam,74,IN,55,16.08,78.87,82.0,7.83
36,mecca,0,SA,47,21.43,39.83,80.56,1.5
37,vaini,20,TO,73,-21.2,-175.2,75.2,13.87
38,dikson,92,RU,94,73.51,80.55,3.85,19.08
39,dicabisagan,64,PH,67,17.08,122.42,85.89,4.81
40,saint-philippe,0,RE,61,-21.36,55.77,80.6,17.22
41,passo fundo,45,ID,71,-3.63,128.25,84.58,10.22
42,khatanga,32,RU,90,71.97,102.5,-4.86,9.1
43,cabo san lucas,75,BR,69,-8.28,-35.03,80.6,6.93
