City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
vangaindrano,0,,1603761708,88,-23.35,47.6,66.63,4.29
kapaa,75,,1603761603,78,22.08,-159.32,75.2,16.11
hay river,90,,1603761708,100,60.82,-115.8,24.8,9.17
rikitea,100,,1603761709,87,-23.12,-134.97,75.31,13.44
victoria,63,,1603761438,68,22.29,114.16,78.01,3
ashland,90,,1603761416,93,40.82,-82.27,44.6,5.82
ushuaia,20,,1603761710,34,-54.8,-68.3,50.0,16.11
thompson,5,,1603761710,57,55.74,-97.86,23.0,6.93
puerto ayora,43,,1603761710,92,-0.74,-90.35,68.0,1.99
ambon,40,,1603761711,70,-3.7,128.18,87.8,3.36
kutum,0,,1603761711,25,14.2,24.67,68.92,8.25
avarua,100,,1603761712,83,-21.21,-159.78,71.6,13.87
hithadhoo,93,,1603761668,64,-0.6,73.08,83.3,7.05
albany,100,,1603761712,88,42.6,-73.97,51.01,3.18
vaini,75,,1603761713,94,-21.2,-175.2,73.4,9.17
longyearbyen,75,,1603761713,79,78.22,15.64,26.6,8.05
khatanga,87,,1603761713,94,71.97,102.5,1.67,8.9
asau,0,,1603761651,98,46.43,26.4,48.0,3.29
bilibino,99,,1603761714,93,68.05,166.44,7.63,3.2
hilo,90,,1603761540,83,19.73,-155.09,78.8,5.82
siavonga,0,,1603761714,50,-16.54,28.71,79.05,2.3
tasiilaq,100,,1603761714,47,65.61,-37.64,33.8,21.92
punta arenas,20,,1603761616,78,-53.15,-70.92,46.4,27.51
bengkulu,100,,1603761715,77,-3.8,102.27,77.86,1.9
ribeira grande,100,,1603761604,93,38.52,-28.7,68.56,16.28
batagay-alyta,100,,1603761715,93,67.8,130.41,8.69,2.59
rocha,100,,1603761715,63,-34.48,-54.33,54.18,11.07
kushima,40,,1603761716,72,31.46,131.23,64.4,9.17
salinas,1,,1603761564,32,36.68,-121.66,66.2,4.7
bluff,29,,1603761716,62,-46.6,168.33,57.99,5.01
srednekolymsk,0,,1603761632,91,67.45,153.68,10.36,5.7
samana,100,,1603761717,85,19.21,-69.34,78.46,9.66
anchorage,90,,1603761602,80,61.22,-149.9,39.2,8.1
vokhma,0,,1603761717,96,58.93,46.76,26.65,3.94
quatre cocos,40,,1603761718,78,-20.21,57.76,72.0,8.05
safford,75,,1603761718,26,32.83,-109.71,57.2,18.34
tres arroyos,8,,1603761718,67,-38.37,-60.28,56.26,11.36
chokurdakh,100,,1603761719,95,70.63,147.92,5.85,10.67
agirish,100,,1603761719,95,61.92,63.02,20.05,11.12
port alfred,94,,1603761645,85,-33.59,26.89,67.5,25.99
san patricio,20,,1603761720,78,28.02,-97.52,78.8,14.99
marsa matruh,0,,1603761720,60,31.35,27.25,71.6,8.55
carnarvon,0,,1603761720,78,-24.87,113.63,71.6,21.92
mozarlandia,100,,1603761720,62,-14.74,-50.57,81.63,2.01
clyde river,0,,1603761721,86,70.47,-68.59,10.13,4.23
rio gallegos,20,,1603761567,39,-51.62,-69.22,50.0,9.17
gatesville,90,,1603761721,100,31.44,-97.74,43.0,12.75
lebu,100,,1603761721,85,-37.62,-73.65,51.48,6.35
barrow,90,,1603761635,85,71.29,-156.79,19.4,10.29
humaita,100,,1603761617,76,-7.51,-63.02,79.12,1.12
coquimbo,0,,1603761526,87,-29.95,-71.34,53.6,8.05
atuona,70,,1603761782,74,-9.8,-139.03,78.89,19.91
katsuura,75,,1603761783,59,35.13,140.3,64.99,12.75
saskylakh,92,,1603761783,92,71.92,114.08,-0.42,5.61
pasighat,100,,1603761783,76,28.07,95.33,71.83,1.92
hermanus,0,,1603761784,86,-34.42,19.23,63.0,1.99
leshukonskoye,100,,1603761784,97,64.9,45.76,29.64,9.73
butaritari,21,,1603761612,68,3.07,172.79,81.55,11.1
halifax,100,,1603761629,95,44.65,-63.57,48.99,3
hobart,75,,1603761614,62,-42.88,147.33,57.0,11.41
mahebourg,40,,1603761617,78,-20.41,57.7,71.6,8.05
puro,100,,1603761785,78,12.48,123.38,82.81,8.1
kavieng,20,,1603761786,60,-2.57,150.8,85.64,5.28
jamestown,90,,1603761499,93,42.1,-79.24,45.0,5.82
port elizabeth,90,,1603761786,88,-33.92,25.57,64.4,16.11
show low,90,,1603761786,92,34.25,-110.03,24.8,6.93
los llanos de aridane,20,,1603761729,68,28.66,-17.92,69.8,8.05
machaneng,0,,1603761787,44,-23.19,27.49,70.72,7.45
cidreira,100,,1603761787,97,-30.18,-50.21,68.05,9.15
nemuro,40,,1603761787,62,43.32,145.57,53.6,2.24
steinbach,40,,1603761787,93,50.17,8.57,48.99,5.82
arraial do cabo,0,,1603761612,88,-22.97,-42.03,72.19,11.39
lagoa,100,,1603761788,93,39.05,-27.98,67.73,17.2
saint-augustin,100,,1603761788,81,51.23,-58.65,32.86,11.01
vanderhoof,100,,1603761788,82,54.02,-124.02,43.97,13.94
faanui,100,,1603761789,77,-16.48,-151.75,80.58,17.87
georgetown,20,,1603761789,94,5.41,100.34,80.6,4.7
guerrero negro,0,,1603761789,38,27.98,-114.06,68.67,17.65
richards bay,100,,1603761654,87,-28.78,32.04,66.36,1.74
kodiak,1,,1603761648,43,57.79,-152.41,51.8,26.4
east london,100,,1603761619,87,-33.02,27.91,67.78,19.04
